id,Global,Country,City,Mission,PrimaryCollegeOrSchool,PrimaryDepartmentOrCenter,ContactName,ContactEmail,ContactPosition,ProjectAcronym,ProjectTitle,ProjectWebsite,InternationalNetwork,InternationalInstitution,PrimaryFundingAgency,IRB,LOA,DTA,MOU,MTA,OtherAgreementType,NumStudentsTraveled,NumResidentsTraineesTraveled,NumFacultyInvolved,StartYear,EndYear,Description,Location,latitude,longitude
321,No,United Kingdom,Glasgow,Education,School of Medicine,GME,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Glasgow, United Kingdom (Europe) Start Date: 06/01/2023 - End Date: 06/06/2023","Glasgow, United Kingdom",55.86362504,-4.236869947
322,No,United Kingdom,,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,Clinical Pharmacy,,,,,,,,England - H Lloyd Chemist and Somerset Gardens Pharmacy,,,,,,,,,,,,,Affiliation Agreement with England - H Lloyd Chemist and Somerset Gardens Pharmacy,United Kingdom,53.40838661,-1.969559544
323,No,United Kingdom,London,Research,Skaggs School of Pharmacy and Pharmaceutical Sciences,Clinical Pharmacy,Michael DiStefano,,,,,,,Victoria Charlton,,,,,,,,,,,,,"Research collaboration with Victoria Charlton (UK) on health technology assessment (1 published paper in 2023, 2 under review)","London, United Kingdom",51.50740836,-0.127698693
324,No,United Kingdom,Chester,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Assistant Dean Kimberly Stultz,,,,,,,Community Pharmacies,,,,,,,,,,,,,Affiliation Agreements with Community Pharmacies,"Chester, United Kingdom",53.19021912,-2.891645238
325,No,United States,Aurora,Education,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,"UNOP, SLAOP, AHOPCA, GALOP (different consortiums and organizations from Latin America)",,,,,,,,,,,,,"Support to the Latin America projects on implementation reseach and instruments to evaluate and improve diagnosis, management and outcoms of childhood cancer (PrOFILE, ARIA, StJudeCares)","Aurora, United States",39.712934,-104.81936
326,No,United States,Aurora,Research,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,"UNOP, SLAOP, AHOPCA, GALOP (different consortiums and organizations from Latin America)",,,,,,,,,,,,,"Support to the Latin America projects on implementation reseach and instruments to evaluate and improve diagnosis, management and outcoms of childhood cancer (PrOFILE, ARIA, StJudeCares)","Aurora, United States",39.712934,-104.81936
327,No,United States,Memphis,Education,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,"UNOP, SLAOP, AHOPCA, GALOP (different consortiums and organizations from Latin America)",,,,,,,,,,,,,"Support to the Latin America projects on implementation reseach and instruments to evaluate and improve diagnosis, management and outcoms of childhood cancer (PrOFILE, ARIA, StJudeCares)","Memphis, United States",35.1433781,-90.0521356
328,No,United States,Memphis,Research,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,"UNOP, SLAOP, AHOPCA, GALOP (different consortiums and organizations from Latin America)",,,,,,,,,,,,,"Support to the Latin America projects on implementation reseach and instruments to evaluate and improve diagnosis, management and outcoms of childhood cancer (PrOFILE, ARIA, StJudeCares)","Memphis, United States",35.1433781,-90.0521356
329,No,Vietnam,Ho Chi Minh City,Education,Colorado School of Public Health,Center For Global Health,Michelle Shiver,,,,,,,Pasteur Institute of Ho Chi Minh City,,,,,,,,,,,,,This MOU is expired and was set up by Michelle Shiver who was the Center Admin for CGH from 2008-2018,"Ho Chi Minh City, Vietnam",10.77653,106.700977
330,No,Vietnam,Hanoi,Research,Colorado School of Public Health,Community and Behavioral Hlt,Cherewick (Miranda Dally Co-PI),,,,,,,United Nations Vietnam,,,,,,,,,,,,,Climate Change and OSH of Vietnamese farmers: International Labor Organization formative research study to identify risk factors and opportunities to adapt to climate change related hazards of Vietnamese agricultural workers,"Hanoi, Vietnam",21.028279,105.853881
331,No,Vietnam,Hanoi,Research,Colorado School of Public Health,,"Cherewick (Miranda Dally Co-PI), Newman, Krisher (EHOH, Co-I)",,,,,,,International Labor Organization's Vision Zero Fund,,,,,,,,,,,,,"ILO Consultation Project: Feasibility study to identify opportunities to address occupational safety and health challenges linked to climate change in the agricultural supply chains in Viet Nam. This is a pilot, qualitative methods study to understand Vietnamese Farmers' perceptions of climate change impacts on their livelihoods, in support of the International Labour Organization's Vision Zero Fund.","Hanoi, Vietnam",21.028279,105.853881
332,No,Vietnam,Hanoi,Education,School of Medicine,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Hanoi, Vietnam (Asia) Start Date: 03/09/2024 - End Date: 03/22/2024","Hanoi, Vietnam",21.028279,105.853881
333,No,Vietnam,Ho Chi Minh City,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Assistant Dean Kimberly Stultz,,,,,,,Vietnam - Louis Pasteur Clinic,,,,,,,,,,,,,Affiliation Agreement with Vietnam - Louis Pasteur Clinic,"Ho Chi Minh City, Vietnam",10.77653,106.700977
334,No,Zambia,Lusaka,Education,Colorado School of Public Health,,Matt Bolt,,,,,,,"University of Zambia, BIOS/CIDA",,,,,,,,,,,,,Evaluating what factors increase a likelihood to use PrEP among students at the University of Zambia,"Lusaka, Zambia",-15.4196231,28.2831472
335,No,Zambia,Lusaka,Education,Colorado School of Public Health,Epidemiology,"Hampanda, Karen",,,,,,,,,,,,,,,,,,,,"International Student Travel. Lusaka, Zambia (Africa) Start Date: 07/04/2022 - End Date: 07/25/2022","Lusaka, Zambia",-15.4196231,28.2831472
336,No,Zambia,Lusaka,Education,School of Medicine,Emergency Med,"Julia Dixon, MD MPH (PI)",,,,,,,University Teaching Hospital of Zambia in Lusaka,,,,,,,,,,,,,In partnership with the MOH of Zambia and University teaching Hospital we aim help to develop emergency care curriculum and support systems improvements emergency care at UTH,"Lusaka, Zambia",-15.4196231,28.2831472
337,No,Zambia,Lusaka,Education,School of Medicine,Obstetrics And Gynecolgy,"Hampanda, Karen",,,,,,,University of Zambia,,,,,,,,,,,,,"mHealth Intervention to Increase Uptake of Contraception and PrEP Among Female University Students in Lusaka, Zambia (R21MH131281) and Promoting HIV health behaviors among pregnant couples in Zambia using an adaptive relationship strengthening intervention (R00MH116735)","Lusaka, Zambia",-15.4196231,28.2831472
338,No,Zimbabwe,Bulawayo,Education,School of Medicine,,"Thomas Campbell, Ed Havranek, Suzanne Brandenburg, Nancy Madinger, Jennifer Vail-Daley, Christine Velez,",,,,,,,"University of Zimbabwe, College of Health Sciences (UZCHS), National University of Science and Technology (NUST Faculty of Medicine), Midlands State University (MSU Faculty of Medicine) and Africa University (AU Department of Health Sciences)",,,,,,,,,,,,,"The Partnership in Education Training and Research Advancement (PETRA) program is a consortium of four Zimbabwean Universities collaborating with two United States Universities. The Zimbabwe Consortium members are the University of Zimbabwe, College of Health Sciences (UZCHS), National University of Science and Technology (NUST Faculty of Medicine), Midlands State University (MSU Faculty of Medicine) and Africa University (AU Department of Health Sciences). The American Universities are; University of Colorado Denver and Stanford University. The program is supported by the Fogarty International Centre of the United States Institutes of Health and will run from 2018 through to 2023, with a 1-year extension to Sept 2024.The program has two broad strands namely Interprofessional Education and Collaborative Practice (IPE/CP) and Dissemination and Implementation Science (DIS). My role with the CON, is faculty development followed by student curricular development for the advancement of IPE/CP at all four partnering institutions.","Bulawayo, Zimbabwe",-20.1519036,28.5849271
339,No,Zimbabwe,Harare,Education,School of Medicine,GME,"Ed Havranek, Suzanne Brandenburg, Nancy Madinger, Thomas Campbell",,,,,,,University of Zimbabwe College of Health Sciences (UZCHS),,,,,,,,,,,,,"Bilateral exchange program between DOM, SOM, and Dept of Internal Medicine at University of Zimbabwe College of Health Sciences (UZCHS). Faculty and trainees exchange, clinical research in HIV, cardiology and internal medicine","Harare, Zimbabwe",-17.8276279,31.0504518
340,No,Zimbabwe,Harare,Service/Clinical,School of Medicine,,"Thomas Campbell, Suzanne Brandenburg, Nancy Madinger; Ali Musani and Reem Hana",,,,,,,University of Zimbabwe College of Health Sciences (UZCHS),,,,,,,,,,,,,"Bilateral exchange program between DOM, SOM, and Dept of Internal Medicine at University of Zimbabwe College of Health Sciences (UZCHS). Faculty and trainees exchange, clinical research in HIV, cardiology and internal medicine","Harare, Zimbabwe",-17.8276279,31.0504518
341,No,Zimbabwe,Harare,Education,School of Medicine,,Ali Musani and Reem Hana,,,,,,,University of Zimbabwe College of Health Sciences (UZCHS),,,,,,,,,,,,,"Residents rotate through 1-month elective, faculty and trainees exchange, clinical research in HIV, cardiology and internal medicine","Harare, Zimbabwe",-17.8276279,31.0504518
342,No,Zimbabwe,Harare,Education,School of Medicine,Emergency Med,Emilie J. Calvello Hines,,,,,,,As Needed,,,,,,,,,,,,,"Disaster relief, tied with WHO and African Federation for Emergency Medicine. Https://coloradoglobalem.org. Other major activities: fellowship, robust resident track, attending opportunities","Harare, Zimbabwe",-17.8276279,31.0504518
343,No,Zimbabwe,Harare,Education,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,,,,,,,,,,,,,,Support on the development of Pediatric Oncology in Zimabwe. Lasted only 6 months as St Jude invovled with their own faculty and I was asked by the MD from Zimbabwe NOT to participate,"Harare, Zimbabwe",-17.8276279,31.0504518
344,No,Zimbabwe,Harare,Service/Clinical,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,,,,,,,,,,,,,,Support on the development of Pediatric Oncology in Zimabwe. Lasted only 6 months as St Jude invovled with their own faculty and I was asked by the MD from Zimbabwe NOT to participate,"Harare, Zimbabwe",-17.8276279,31.0504518
345,Yes,Africa,Zimbabwe and multiple others,Service/Clinical,School of Medicine,Cancer Center,Tom Flaig,,,,,,,African Organisation for Research and Training in Cancer,,,,,,,,,,,,,"Developing multiple cancer guidelines specific to sub–Saharan Africa with the NCCN. Working wtih AORTIC (African Organisation for Research and Training in Cancer). Visits include Ghana, Senegal, Rwanda, Ethiopia","Zimbabwe and multiple others, Africa",-29.6913919,30.9767194
346,Yes,Africa,Zimbabwe and multiple others,Research,School of Medicine,Cancer Center,Tom Flaig,,,,,,,African Organisation for Research and Training in Cancer,,,,,,,,,,,,,"Developing multiple cancer guidelines specific to sub–Saharan Africa with the NCCN. Working wtih AORTIC (African Organisation for Research and Training in Cancer). Visits include Ghana, Senegal, Rwanda, Ethiopia","Zimbabwe and multiple others, Africa",-29.6913919,30.9767194
347,Yes,AFRICA (needs more information),,Research,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Peter Anderson,,,,,,,,,,,,,,,,,,,,PrEP adherence-concentration thresholds associated with HIV protection among African women,AFRICA (needs more information),45.521428,-122.680546
348,Yes,AFRICA (needs more information),,Research,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Peter Anderson,,,,,,,,,,,,,,,,,,,,HIV Prevention Trials Network (HPTN) Pharmacology Support Laboratory,AFRICA (needs more information),45.521428,-122.680546
349,Yes,AFRICA (needs more information),,Research,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Peter Anderson,,,,,,,,,,,,,,,,,,,,International Maternal Pediatric Adolescent AIDS Clinical Trials (IMPAACT) Pharmacology Support Laboratory,AFRICA (needs more information),45.521428,-122.680546
350,Yes,AFRICA (needs more information),,Research,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Peter Anderson,,,,,,,,,,,,,,,,,,,,Adult AIDS Clinical Trials Group (ACTG) Pharmacology Specialty Laboratories (PSL),AFRICA (needs more information),45.521428,-122.680546
351,Yes,Central America,,Research,Colorado School of Public Health,Health Systems Mgmt Polic,Meredith Fort,,,,,,,Institute of Nutrition of Central America and Panama,,,,,,,,,,,,,Institute of Nutrition of Central America and Panama (since 2013); diverse research and public health projects including U01 - Implementing a Multicomponent Intervention to Improve Hypertension Control in Central America and related participation in global consortium on cardiovascular health,Central America,12.5,-85
352,Yes,International,Switzerland and beyond,Service/Clinical,Colorado School of Public Health,Center For Global Health,May Chu,,,,,,,World Health Organization,,,,,,,,,,,,,"Serves as Senior Advisor on the WHO guidelines boards for infection control and prevention for COVID-19 research and for Personal Protective Equipment for Viral Hemoraghic Fevers. WHO is in Geneva, Switzerland, the guidelines are for all 196 countries.","Switzerland and beyond, International",46.3114436,7.4811865
353,Yes,International,,Education,Colorado School of Public Health,,"Madiha Abdel-Maksoud, MD, PhD",,,,,,,Mutiple locations,,,,,,,,,,,,,MPH students in any Department have the option to add the Global Health Concentrations.,International,34.1010222,-117.2694173
354,Yes,International,,Education,Colorado School of Public Health,,"Madiha Abdel-Maksoud, MD, PhD",,,,,,,Mutiple locations,,,,,,,,,,,,,"The Global Health Certicate is a standalone certificate, and is different from the Global Health MPH Program",International,34.1010222,-117.2694173
355,Yes,International,,Service/Clinical,Colorado School of Public Health,Environmental and Occ Hlth,"Madeline Ross, MD MPH, Jessica Ryder, MD, Corey Bills MD MPH",,,,,,,"Team Rubicon, mulitple locations",,,,,,,,,,,,,"Team Rubicon is an international non-government organization specializing in disaster response. Faculty and fellows deploy with TR in response to targeted disasters. Previous deployments with CU faculty include: Ukraine, Niger, Papua New Guinea, Guatemala, Morocco, Haiti.",International,34.1010222,-117.2694173
356,Yes,International,,Education,Colorado School of Public Health,Epidemiology,"Molly Lamb, Dan Olson, Edwin Asturias",,,,,,,,,,,,,,,,,,,,Global health elective course,International,34.1010222,-117.2694173
357,Yes,International,,Education,Colorado School of Public Health,Epidemiology,"Molly Lamb, Dan Olson, Gretchen Domek, Lisa Umphrey",,,,,,,,,,,,,,,,,,,,Mentorship of fellows in Colorado Global Health Fellowship Program,International,34.1010222,-117.2694173
358,Yes,International,,Education,Colorado School of Public Health,,Program Directors for each program: 1. BIOS: Fosdick; 2: CBH: Cherewick; 3. EPID: Abdel-Maksoud; 4. EHOH: Bauer; 5. HSMP: McManus; 6. MCH: Greenwell; 7. CHE: Heise (UNC),,,,,,,,,,,,,,,,,,,,Each of the main Master of Public concentrations in the aforementioned departments has the option of doing a dual concentration with global health plus. This means that a student completing a MPH concentration can add on global health courses to get a designation in global health and the other MPH concentration.,International,34.1010222,-117.2694173
359,Yes,International,,Education,Colorado School of Public Health,,Tracy Nelson (CSU),,,,,,,,,,,,,,,,,,,,Global Health and Health Disparities - Master of Public Health concentration,International,34.1010222,-117.2694173
360,Yes,International,,Service/Clinical,Colorado School of Public Health,Epidemiology,David Rojas,,,,,,,,,,,,,,,,,,,,"Works with C40, which has locations in 96 global cities, and CSU One Health Institute, which is in 16,000 cities",International,34.1010222,-117.2694173
361,Yes,International,,Research,Colorado School of Public Health,Biostatistics and Informatc,Kayleigh Keller (CSU PI),,,,,,,,,,,,,,,,,,,,Gateway to Global Aging Project: An international collaboration to harominize data from the Health and Retirement Study International Network of Studies (HRS-INS) and investigate potential relationships between environmental exposures and measures of cognitive aging. The lead institution is the University of Southern California.,International,34.1010222,-117.2694173
362,Yes,International,,Education,Colorado School of Public Health,Environmental and Occ Hlth,Neil Grigg (CSI),,,,,,,,,,,,,,,,,,,,"Course includes students from Ghana, Nigeria, Myanmar. Course graders are two PhD students from Panama",International,34.1010222,-117.2694173
363,Yes,International,,Service/Clinical,Colorado School of Public Health,,Andrew Seidl (CSU),,,,,,,United Nations Development Program,,,,,,,,,,,,,Biodiversity Finance Initiative (UNDP-BIOFIN): www.biofin.org; Seidl is Senior Technical Advisor to this UNDP program. BIOFIN focuses on developing and implementing finance mechanisms to bride the biodiversity investment gap at the country level. BIOFIN is currently active in 41 countries and will expand to 131 countries in 2024.,International,34.1010222,-117.2694173
364,Yes,International,,Education,Colorado School of Public Health,,Andrew Seidl (CSU),,,,,,,,,,,,,,,,,,,,Semester at Sea: https://www.semesteratsea.org/voyages/spring-2024/,International,34.1010222,-117.2694173
365,Yes,International,,Education,Colorado School of Public Health,Biostatistics and Informatc,Antonio Porras,,,,,,,FUTURE-AI Statement,,,,,,,,,,,,,"This work describes the FUTURE-AI guideline as the first international consensus framework for guiding the development and deployment of trustworthy AI tools in healthcare. The FUTURE-AI consortium was founded in 2021 and currently comprises 118 inter-disciplinary experts from 51 countries representing all continents, including AI scientists, clinicians, ethicists, and social scientists.",International,34.1010222,-117.2694173
366,Yes,International,,Education,School of Medicine,,"Madiha Abdel-Maksoud, MD, PhD; Molly Lamb, Dan Olson, Lisa Umphrey, Joe Wathen",,,,,,,https://medschool.cuanschutz.edu/education/current-students/curriculum/longitudinal-curriculum/tracks/global-program,,,,,,,,,,,,,"The Global Health Track is a longitudinal experience during all 4 years of med school. Each year, the Track enrolls ~18 med students and 2 PA students.",International,34.1010222,-117.2694173
367,Yes,International,,Research,School of Medicine,,Corey Bills MD MPH (Lead),,,,,,,,,,,,,,,,,,,,"Global Emergency Care Initiative (GECI) is a program within the DEM and the major platform for organizing global health activities among Departmental Faculty (7 core faculty), fellows (2), residents, and affiliate members. Our mission is to: ""To create enduring partnerships, leverage science and best evidence, and to support the implementation of practical and locally appropriate solutions to improve access to timely, quality emergency care for all people.""",International,34.1010222,-117.2694173
368,Yes,International,,Service/Clinical,School of Medicine,Emergency Med,Corey Bills MD MPH (Lead),,,,,,,World Health Organization Gloval Emergency and Trauma Care Initiative,,,,,,,,,,,,,"The WHO Global Emergency and Trauma Care Initiative (GETI) was launched in January 2019, with the following two goals: 1) to rapidly increase capacities to provide quality emergency care in countries around the world, and 2) to foster awareness through a global advocacy campaign about its potential to save lives. As a Department we have applied for formal WHO Collaborating Center Status and are one of 3 university departments (in partnership with John Hopkins University and University of California San Francisco) in the PAHO region to support emergency care development.",International,34.1010222,-117.2694173
369,Yes,International,,Service/Clinical,School of Medicine,Emergency Med,"Corey Bills MD MPH, ulia Dixon, MD MPH; Madeline Ross, MD MPH; Branden Skarpiak",,,,,,,,,,,,,,,,,,,,"The Individual faculty listed serve as consultants to the WHO Clinical Services and Systems. As a result of this work individuals partners to strengthen WHO work with targeted past work in Armenia, Nepal, Liberia, Zambia, Jordan.",International,34.1010222,-117.2694173
370,Yes,International,,Education,School of Medicine,,"Corey Bills, MD MPH, Fellowship Director; Madeline Ross MD MPH Assistant Director; Current Fellows Drs. Will Fraser MD, Ashley Pickering, MD MPH.",,,,,,,Multiple Locations,,,,,,,,,,,,,"The Department of Emergency Medicine Fellowship is a two-year post graduate fellowship in global emergency care development with a particular emphasis on the fundamentals of public health. The Fellowship includes clinical work in the emergency department with adequate time for sustained field work with a focus on research, programmatic development, and global health policy.",International,34.1010222,-117.2694173
371,Yes,International,,Education,School of Medicine,,Corey Bills MD MPH; Branden Skarpiak MD MPH,,,,,,,,,,,,,,,,,,,,"The Global Health track is a formal residency mechanism for interested residents, with the aim of providing sustained targeted work and building a future career in global emergency care.",International,34.1010222,-117.2694173
372,Yes,International,,Research,School of Medicine,,David Richards,,,,,,,Multiple Locations,,,,,,,,,,,,,CDC and ASPR grant related to Global Special Pathogens Response,International,34.1010222,-117.2694173
373,Yes,International,,Education,School of Medicine,,Leana May Moser,,,,,,,,,,,,,,,,,,,,"Run longitudinal curriculum for pediatric residents (including categorial pediatrics, pediatric neurology and PM+R: monthly educaitonal sessions; direct mentorship for global rotations during residency; 3 weeks of GH education during their internship year (GH and Disasters Course and 1 week of direct lectures by pathway faculty); quarterly journal club facilitated by senior residents and CGH fellows with faculty mentorship provided; facilitate CHCO academic 1/2 day for all pediatric residents every other year; run a local global elective available for all CHCO residents that GH pathway residents can dedicate rotation time for or complete longitudinally during CFEB time",International,34.1010222,-117.2694173
374,Yes,International,,Service/Clinical,School of Medicine,Pediatrics,Leana May Moser,,,,,,,Serious Fun Network,,,,,,,,,,,,,"Serios Fun Network: Serve as volunteer faculty, helping develop and deliver pediatric curriculum for the medical students. Includes: Japan, Israel, France, Hungary, Ireland, Italy, United Kingdom, Botswana, Ethiopia, Lesotho, Malawi, South Africa, Eswatini, Tanzania, Uganda, Cambodia, India, Vietnam, and Haiti",International,34.1010222,-117.2694173
375,Yes,International,,Service/Clinical,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,WHO GICC (Global Initiative for Childhood cancer),,,,,,,,,,,,,"Policy briefs for: acute lymphoblastic leukemia, Burkitt lymphoma, Hodkgin lymphoma, low grade glioma, retinoblastoma and Wilms tumor",International,34.1010222,-117.2694173
376,Yes,International,,Service/Clinical,School of Medicine,,"John ""Fred"" Thomas",,,,,,,,,,,,,,,,,,,,"Multiple international sites involving peer-mentored care collaborative. Ongoing specialty support for education, case review and follow-up between on-site visits",International,34.1010222,-117.2694173
377,Yes,International,,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Dean Altiere,,,,,,,,,,,,,,,,,,,,"Lead for all education related activities at the International Pharmaceutical Federation. Chair the FIPEd executive commmittee that includes the Academic Institutional Members (AIM), Academic Pharmacy Section (AcPS), FIP UNESCO-UNITWIN program, and education elements of FIP workforce development hub/FIP Hub, Early Career Pharmacist Group and International Pharmaceutical Student Federation",International,34.1010222,-117.2694173
378,Yes,International,,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,Clinical Pharmacy,Shaun E. Gleason,,,,,,,,,,,,,,,,,,,,"The Global Advocacy Task Force of the American Association of Colleges of Pharmacy's Global Education Special Interest Group is involved in projects related to advancing the profession through global advocacy topics. Examples include work in assessing current visa challenges of the PharmD degree (currently not recognized as science-related degree), sharing challenges of entry- and mid-career international learners in US systems and the benefits to helping overcome them, and others.",International,34.1010222,-117.2694173
379,Yes,International,,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,Clinical Pharmacy,Shaun E. Gleason,,,,,,,,,,,,,,,,,,,,"Serve as a Global Lead for Academic Capacity on the International Pharmaceceutical Federation's (FIP) Development. The Hub is a team of 20+ practice, academic and pharmaceutical sciences professionals who lead projects to generate intelligence, and provide evidece-based resources and tools to inform and support FIP's Development Goals. Examples of work include development of a handbook on Competency Based Education, leading and coordinating multiple global webinars on online learning during COVID, development of assessments of academic capacity in schools/colleges of pharmacy and other projects. Work of the Hub often partners with other groups within FIP, such as FIP Academic Institutional Members (AIM), Academic Pharmacy Section (AcPS), FIP UNESCO-UNITWIN program, and others.",International,34.1010222,-117.2694173
380,Yes,International,,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,Clinical Pharmacy,Shaun E. Gleason and the SSPPS faculty,,,,,,,,,,,,,,,,,,,,"International Trained PharmD (ITPD) Program. The ITPD program is a hybrid-delivered, advanced-standing entry-level Doctor of Pharmacy (PharmD) program for pharmacists around the world aiming to advance their BS/MS education toward a PharmD. Started in 2014, it is the first (and only) of its kind that is ACPE-accredited. It's 20+ graduates meet its mission of advancing patient-centered worldwide, through immediate application in their practices, educating peers and students, leading professional development programs, advocating for the profession with their local health ministers and others.",International,34.1010222,-117.2694173
381,Yes,International,,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,Clinical Pharmacy,Joseph Saseen,,,,,,,,,,,,,,,,,,,,LGBT+ International Pharmacy Conference Planning Committee. Member of the planning committee for this new international pharmacy conference. It is seeking endorsement/recognition by the International Pharamaceutical Federation and plans are to host the meeting in Australia in 2025.,International,34.1010222,-117.2694173
382,Yes,International,,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,Clinical Pharmacy,R. Brett McQueen,,,,,,,,,,,,,,,,,,,,Center for Pharmaceutical Value (pValue) is a collaborative grant with over $1.1 million in funding to date from external and internal sources. We partner with an international non-profit named Syreon Research Institute. Syreon tested a method in middle and lower income countries for transparent drug pricing discussions. We are adopting this method for the United States market. This relationship has led to mutliple visiting scholars to the school for additioinal research projects as well as shared educational opportunities at international conferences.,International,34.1010222,-117.2694173
383,Yes,International,,Research,Skaggs School of Pharmacy and Pharmaceutical Sciences,Clinical Pharmacy,Jacquelyn Bainbridge,,,,,,,LLLP Committee Lead; ICRS Member and educator; ILAE Pharmacy SIG committee; ECTRIMS; United Nations,,,,,,,,,,,,,Programing committee lead for 2023; Educational presenter; Newly added ILAE Pharmacy section Committee; Presentor and Mentor; Presentor in Vienna,International,34.1010222,-117.2694173
384,Yes,International,,Research,Skaggs School of Pharmacy and Pharmaceutical Sciences,Pharmaceutical Sciences,Manisha Patel,,,,,,,,,,,,,,,,,,,,"Officer of American Epilepsy Society, Member of ILAE DEI Taskforce, Member of Research and Innovation Taskforce",International,34.1010222,-117.2694173
385,Yes,International,,Research,Skaggs School of Pharmacy and Pharmaceutical Sciences,Pharmaceutical Sciences,Jared M. Brown,,,,,,,,,,,,,,,,,,,,On the planning committee for the NanoEH conference. Organized a conference in the UK and working on future conference in South America,International,34.1010222,-117.2694173
386,Yes,Latin America,Guatemala City,Research,School of Medicine,Pediatrics,"Thelma Velasquez (PI), Filippo Spreafico (Instituto di Tumori, Milan Italy) and Sandra Luna-Fineman Co-mentors",,,,,,,Unidad Nacional de Oncologia Pediatrica,,,,,,,,,,,,,"Writing an guideline and implementation stratagy for the diagnosis, treatment and support of Wilms Tumor in Latin America (collaboration between AHOPCA, Instituto di Tumori, Milan, Italy, St Jude Global Medicine and U Colorado, Anschutz Med Center, CO, USA.","Guatemala City, Latin America",18.352544,-67.010184
387,Yes,Latin American,,Research,Colorado School of Public Health,Epidemiology,David Rojas (CSU),,,,,,,Wellcome Trust,,,,,,,,,,,,,Lancet Countdown Latin America,Latin American,-25.5959781,-54.5747045
388,Yes,Latin American,,Research,Colorado School of Public Health,Epidemiology,David Rojas (CSU),,,,,,,World Health Organization,,,,,,,,,,,,,Air Pollution Risk Assessment in Latin American,Latin American,-25.5959781,-54.5747045
389,Yes,South America,,Research,Colorado School of Public Health,Epidemiology,David Rojas (CSU),,,,,,,Wellcome Trust,,,,,,,,,,,,,Health co-benefits of climate change mitigation in South America,South America,-14.60485,-57.65625
390,Yes,Sub-Saharan Africa,,Research,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Peter Anderson,,,,,,,,,,,,,,,,,,,,Optimizing PrEP regimens for pregnant women in sub-Saharan Africa,Sub-Saharan Africa,1.5509,25.63297
